*k1	k2	time	date	store
7.000000	1.000000	379.000793	2001-01-13 19:00:00 -0500	4.871857
7.000000	1.000000	380.000854	2001-01-14 19:00:00 -0500	3.119418
7.000000	1.000000	381.000916	2001-01-15 19:00:00 -0500	1.954064
7.000000	1.000000	382.000977	2001-01-16 19:00:00 -0500	1.200088
7.000000	1.000000	383.001038	2001-01-17 19:00:00 -0500	0.723951
7.000000	1.000000	384.001099	2001-01-18 19:00:00 -0500	0.429677
7.000000	1.000000	385.001160	2001-01-19 19:00:00 -0500	0.251270
7.000000	3.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
7.000000	3.000000	367.000061	2001-01-01 19:00:00 -0500	99.723419
7.000000	3.000000	368.000122	2001-01-02 19:00:00 -0500	97.871162
7.000000	3.000000	369.000183	2001-01-03 19:00:00 -0500	93.608223
7.000000	3.000000	370.000244	2001-01-04 19:00:00 -0500	86.404945
7.000000	3.000000	371.000305	2001-01-05 19:00:00 -0500	76.161972
7.000000	3.000000	372.000366	2001-01-06 19:00:00 -0500	63.621326
7.000000	3.000000	373.000427	2001-01-07 19:00:00 -0500	50.216301
7.000000	3.000000	374.000488	2001-01-08 19:00:00 -0500	37.484726
7.000000	3.000000	375.000549	2001-01-09 19:00:00 -0500	26.547899
7.000000	3.000000	376.000610	2001-01-10 19:00:00 -0500	17.915401
7.000000	3.000000	377.000671	2001-01-11 19:00:00 -0500	11.572037
7.000000	3.000000	378.000732	2001-01-12 19:00:00 -0500	7.185795
7.000000	3.000000	379.000793	2001-01-13 19:00:00 -0500	4.306887
7.000000	3.000000	380.000854	2001-01-14 19:00:00 -0500	2.500559
7.000000	3.000000	381.000916	2001-01-15 19:00:00 -0500	1.410837
7.000000	3.000000	382.000977	2001-01-16 19:00:00 -0500	0.775706
7.000000	3.000000	383.001038	2001-01-17 19:00:00 -0500	0.416641
7.000000	3.000000	384.001099	2001-01-18 19:00:00 -0500	0.219082
7.000000	3.000000	385.001160	2001-01-19 19:00:00 -0500	0.112993
7.000000	5.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
7.000000	5.000000	367.000061	2001-01-01 19:00:00 -0500	99.993546
7.000000	5.000000	368.000122	2001-01-02 19:00:00 -0500	99.714409
7.000000	5.000000	369.000183	2001-01-03 19:00:00 -0500	98.039886
7.000000	5.000000	370.000244	2001-01-04 19:00:00 -0500	93.269684
7.000000	5.000000	371.000305	2001-01-05 19:00:00 -0500	84.251587
7.000000	5.000000	372.000366	2001-01-06 19:00:00 -0500	71.329536
7.000000	5.000000	373.000427	2001-01-07 19:00:00 -0500	56.279110
7.000000	5.000000	374.000488	2001-01-08 19:00:00 -0500	41.384350
7.000000	5.000000	375.000549	2001-01-09 19:00:00 -0500	28.461489
7.000000	5.000000	376.000610	2001-01-10 19:00:00 -0500	18.400990
7.000000	5.000000	377.000671	2001-01-11 19:00:00 -0500	11.246892
7.000000	5.000000	378.000732	2001-01-12 19:00:00 -0500	6.534735
7.000000	5.000000	379.000793	2001-01-13 19:00:00 -0500	3.627857
7.000000	5.000000	380.000854	2001-01-14 19:00:00 -0500	1.933313
7.000000	5.000000	381.000916	2001-01-15 19:00:00 -0500	0.993029
7.000000	5.000000	382.000977	2001-01-16 19:00:00 -0500	0.493396
7.000000	5.000000	383.001038	2001-01-17 19:00:00 -0500	0.237891
7.000000	5.000000	384.001099	2001-01-18 19:00:00 -0500	0.111614
7.000000	5.000000	385.001160	2001-01-19 19:00:00 -0500	0.051083
7.000000	7.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
7.000000	7.000000	367.000061	2001-01-01 19:00:00 -0500	99.999847
7.000000	7.000000	368.000122	2001-01-02 19:00:00 -0500	99.943520
7.000000	7.000000	369.000183	2001-01-03 19:00:00 -0500	99.202202
7.000000	7.000000	370.000244	2001-01-04 19:00:00 -0500	96.049042
7.000000	7.000000	371.000305	2001-01-05 19:00:00 -0500	88.558220
7.000000	7.000000	372.000366	2001-01-06 19:00:00 -0500	76.207146
7.000000	7.000000	373.000427	2001-01-07 19:00:00 -0500	60.514256
7.000000	7.000000	374.000488	2001-01-08 19:00:00 -0500	44.200157
7.000000	7.000000	375.000549	2001-01-09 19:00:00 -0500	29.763626
7.000000	7.000000	376.000610	2001-01-10 19:00:00 -0500	18.574205
7.000000	7.000000	377.000671	2001-01-11 19:00:00 -0500	10.811374
7.000000	7.000000	378.000732	2001-01-12 19:00:00 -0500	5.908295
7.000000	7.000000	379.000793	2001-01-13 19:00:00 -0500	3.050549
7.000000	7.000000	380.000854	2001-01-14 19:00:00 -0500	1.496638
7.000000	7.000000	381.000916	2001-01-15 19:00:00 -0500	0.701300
